"","Hospital","Specialty","Rotation","Overall","R1","R2","R3","R4","Workload","Stress","Independence","Support","Daytime_workload","Call_workload","Lone_call","Post_call_half","Long_short_call","Call_room","Quarters","AL","Compensatory_leave","Interview","Leave_comments","Work_comments","Comments1","Comments2","class","Comments3","Education","ro"
"11","KWH","MED",1,4,5,5,5,5,4,1,1,5,3,4,"No","No","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Very nice and friendly",NA,"M18",NA,NA,"MED KWH"
"12","KWH","MED",1,5,5,5,5,5,4,2,5,5,5,5,"No","No","No","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,NA,"M18",NA,NA,"MED KWH"
"13","KWH","MED",3,1,3,3,2,2,2,4,2,2,2,4,"No","No","No","Yes",2,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,NA,NA,"M18",NA,NA,"MED KWH"
"14","NDH","MED",4,1,1,1,1,1,5,5,5,3,5,5,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","Shit","Shit","Shit","Shit shit","M18",NA,NA,"MED NDH"
"15","NDH","MED",4,1,NA,NA,NA,1,5,5,3,2,5,5,"Yes","Yes","No","Yes",3,"Allow arrangement among HO","Assigned by Department",NA,NA,"As mentioned, you need to do all things in ward for >100 patients (public holiday call/ weekend call you have to do all 300-400 patients), imagine print all sputum/ urine/ blood/ scan js for all these patient, plus blood taking and ward complaints","THIS IS HELL. DONT COME. at least don't put it on top of your preference no matter what reason (even for geographic reason). you will regret your choice and daily stressed by your duty. You are doing all clerk work and phlebotomist work and you don't feel like you are a doctor. You will be overwhelmed by this workload. Maybe you would like to help patient and handle their ward complaints, but you literally dun have time to do so. So it put patient at extreme high risk e.g. patient had knee tap done but the specimen was sent out next day because no one chut js! and patient having chest pain/ abdominal pain but no one come see them because you just dont have time. These is extremely dangerous and you feel bad about what you are doing everyday. Too many example too many bad feelings so just dont choose it.","And the working environment is not good. ppl here are not helpful. nurses give you words because you come late","M18",NA,NA,"MED NDH"
"16","NDH","MED",3,2,3,3,2,2,4,4,3,3,4,4,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Need to take official Leave",NA,"Compulsory case admissions in mixed wards (1A, 2A, 3C, 4C) from 12 am to 9 am only","Good points: no need to screen lab results, write discharge summaries or admit cases during daytime; most MOs are quite nice. Bad points: endless blood taking (on average 50-70 bloods every call, around half of them ABGs). Huge workload due to severe lack of manpower -- need to cover 3-4 wards per person on average (or more if someone is on leave). A few nurses are very rude towards HOs. Overall: not much to offer in terms of educational value but one's blood taking skills will certainly improve a lot after this rotation.",NA,"M18",NA,NA,"MED NDH"
"17","PMH","MED",2,4,4,4,3,3,3,3,4,3,3,3,"No","Yes","Yes","Yes",3,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Pretty good place for learning (as long as you want to)",NA,"M18",NA,NA,"MED PMH"
"18","PMH","MED",3,4,4,5,2,2,5,4,4,5,5,5,"No","Yes","Yes","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","Coordinator is very nice, he will try to arrange AL according to HOs preference","Lots of jobsheets (waste of time), need to cert patient (pull ECG by HOs), quite a lot of hwk, nurse will not print jobsheet...","Good educational value, nice seniors and supportive MOs, but calls are quite chur and the nurses like to call HOs for trivial matters, not enough phlebotomist. Good place if you want to do medical (MOs got protected sleeping time so they are not as chur as HOs)",NA,"M18",NA,NA,"MED PMH"
"19","PMH","MED",1,5,4,4,4,4,4,4,5,5,3,4,"No","Yes","Yes","Yes",5,"Allow arrangement among HO","Assigned by Department",NA,"request leave and then assigned by department","blood culture from 9pm to 7am mane","Many Opportunities to learn without much workload in daytime",NA,"M18",NA,NA,"MED PMH"
"20","PMH","MED",1,5,5,4,4,4,4,3,4,4,3,4,"No","Yes","Yes","Yes",5,"Allow arrangement among HO","Assigned by Department",NA,NA,NA,NA,NA,"M18",NA,NA,"MED PMH"
"21","PMH","MED",1,2,2,2,1,1,4,4,3,2,3,4,"No","Yes","No","Yes",5,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"quite busy call, 6 wards per HO on avg which can be really far away
not much learning experience as you are too busy doing homework in day duty and even busier during call
many many bloodwork during call as blood gu always""找不到血管"" and blood culture gu off work at 9pm
MO are kind but usually too busy to teach, not much interaction between HO and MO
HO common in block M is a good place to hang around with other fellow HO",NA,"M18",NA,NA,"MED PMH"
"22","PMH","MED",3,4,5,5,1,1,5,4,5,5,5,4,"No","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,"Blood culture taken by HO after 9pm, ECG for dead patient done by HO","Quite busy, but able to sleep 3-4 hours at night. Seniors are nice",NA,"M18",NA,NA,"MED PMH"
"23","PMH","MED",2,5,5,5,2,2,5,4,4,2,4,5,"No","Yes","Yes","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Busy",NA,"M18",NA,NA,"MED PMH"
"24","PMH","MED",4,2,4,4,1,1,4,3,3,4,4,5,"No","Yes","No","Yes",3,"Allow arrangement among HO","Assigned by Department",NA,NA,"PMH blood gu quite rubbish, often refuse to take blood or set drip 
","medical centre wise pmh call frequent 
often 3 day 1 call, which is insane",NA,"M18",NA,NA,"MED PMH"
"25","PMH","MED",2,4,4,4,3,3,4,4,5,3,4,4,"No","Yes","Yes","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,"Blood Gu take cultures until 2130",NA,NA,"M18",NA,NA,"MED PMH"
"26","POH","MED",2,4,5,5,5,5,3,2,2,5,3,4,"Yes","Yes","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Really good educational value, especially grand round","Really good place!","M18",NA,NA,"MED POH"
"27","POH","MED",3,5,4,1,1,4,3,3,5,3,3,4,"Yes","Yes","Yes","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Good",NA,"M18",NA,NA,"MED POH"
"28","PWH","MED",1,4,4,4,2,2,5,5,4,4,5,5,"No","No","No","Yes",1,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Can learn standard management 
But 3days1call with no post call half day is very tough 
Working under high pressure",NA,"M18",NA,NA,"MED PWH"
"29","PWH","MED",3,1,3,3,1,1,5,5,1,5,5,5,"No","No","No","Yes",3,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,"勁多垃圾ward complaints, 全部job sheet 都係你做",NA,"KM 幾聽HO 意見, senior support 好","M18",NA,NA,"MED PWH"
"30","PWH","MED",2,1,1,1,1,1,4,5,1,4,1,3,"No","No","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Mental prison trapped in pwh forever",NA,"M18",NA,NA,"MED PWH"
"31","PWH","MED",1,3,3,3,2,2,3,4,3,3,3,3,"No","No","No","Yes",NA,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Not bad for first 2 rotations as many HO",NA,"M18",NA,NA,"MED PWH"
"32","PWH","MED",2,2,3,3,2,2,5,5,5,4,5,5,"No","No","No","Yes",2,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,"Including help nurses with their duties","Nurses expect you to do their work. Radiographers expect you to wait for them. You are a slave who will be called up to print INR jobsheet. :)",NA,"M18",NA,NA,"MED PWH"
"33","PWH","MED",2,3,NA,3,NA,NA,5,4,3,4,5,4,"No","No","No","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","Very frequent call",NA,NA,NA,"M18",NA,NA,"MED PWH"
"34","PWH","MED",2,4,5,5,4,3,4,3,4,4,4,4,"No","No","No","Yes",4,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,NA,"Good for learning",NA,"M18",NA,NA,"MED PWH"
"35","PWH","MED",2,1,1,1,1,1,4,5,4,3,2,4,"No","No","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO","The Department will arrange calls right before your annual leave. (Sunday call, off at Monday 08:00 and start annual)
Weekend duty arrangement is also inconsiderate, will occasionally be arranged Friday call-Saturday off-Sunday morning duty","Educational value is low","Not recommended",NA,"M18",NA,NA,"MED PWH"
"36","PWH","MED",3,1,1,1,1,1,5,5,4,1,5,5,"No","No","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Terrible","Avoid at all costs","M18",NA,NA,"MED PWH"
"37","PWH","MED",1,4,4,4,3,3,4,4,4,4,4,5,"No","No","No","No",5,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"3 days 1 call no post call. most mo are nice (except cardiac mo who have their style)",NA,"M18",NA,NA,"MED PWH"
"38","PWH","MED",3,2,2,2,2,2,4,4,4,3,3,3,"No","No","No","Yes",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"daytime/ call not as busy as other medical rotation due to number of houseman; but strict 3 days 1 call + 8-6 working hours is crazy. dont choose",NA,"M18",NA,NA,"MED PWH"
"39","PWH","MED",4,2,2,2,2,2,4,4,3,2,5,3,"No","No","No","Yes",1,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Unhelpful nurse x 200",NA,"M18",NA,NA,"MED PWH"
"40","PWH","MED",3,2,NA,NA,2,NA,3,5,4,3,3,4,"No","No","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,NA,"PWH nurses and MO are hostile. They badmouth about HO. One particular psycho MO will even wake you up even though you are getting some sleep in HO room post-call.
But in terms of workload, comparing with other medical rotations with lone call, you do able to sleep during calls under normal situations.","M18",NA,NA,"MED PWH"
"41","PWH","MED",3,1,1,1,1,1,5,5,2,2,5,3,"No","No","No","Yes",2,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO","secretary is very nice",NA,"pretty bad, just don't come",NA,"M18",NA,NA,"MED PWH"
"42","PWH","MED",3,5,5,5,5,5,2,2,2,5,2,2,"No","No","No","Yes",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,NA,NA,"M18",NA,NA,"MED PWH"
"43","PWH","MED",2,2,2,2,2,2,5,5,4,3,5,5,"No","No","No","Yes",1,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,NA,NA,"M18",NA,NA,"MED PWH"
"44","PWH","MED",1,3,1,3,1,5,4,4,2,2,2,4,"No","No","No","Yes",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"not very good learning environment , not many procedures to do, very chur as many calls
would not reccomend",NA,"M18",NA,NA,"MED PWH"
"45","PYNEH","MED",1,4,4,4,4,4,4,3,3,4,4,5,"No","No","No","Yes",4,"Assigned by Department","Assigned by Department",NA,NA,NA,NA,NA,"M18",NA,NA,"MED PYNEH"
"46","PYNEH","MED",1,3,3,3,1,1,4,2,2,4,3,4,"No","No","No","Yes",NA,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Quite protective, many ward complaints direct to mo
Not much exposure on procedure(as generally they seldom do procedure)
They encourage you to do as many admission as you can.
Many clerical work",NA,"M18",NA,NA,"MED PYNEH"
"47","PYNEH","MED",4,1,3,3,1,1,4,3,1,2,2,4,"No","No","No","Yes",1,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,NA,"Very conservative department, you work as slave",NA,"M18",NA,NA,"MED PYNEH"
"48","PYNEH","MED",2,4,4,4,4,4,4,3,2,4,4,4,"No","No","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"relatively less stressful amongst medical rotation; many critical ward complain/ lab result will bypass HO and directly call MO but less exposure if you want to do medical in the future",NA,"M18",NA,NA,"MED PYNEH"
"49","PYNEH","MED",1,5,5,5,4,4,4,3,4,5,4,4,"No","No","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"a very fruitful rotation overall, great support from senior",NA,"M18",NA,NA,"MED PYNEH"
"50","PYNEH","MED",2,4,4,4,4,4,4,4,3,5,4,4,"No","No","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Need to take official Leave",NA,NA,"Adv: less busy med rot compared with other major hospitals, nice & supportive MO
Disadv: nurses not so competent, non-existing blood gu service","HO duty mainly clerical apart from admission & ward complaints, better to hv one more rot in another hospital if u wanna be med","M18",NA,NA,"MED PYNEH"
"51","PYNEH","MED",1,5,5,5,5,5,3,3,3,5,3,4,"No","No","No","Yes",5,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,"need to do ecg in some female wards","nice working environment with competent supporting staff",NA,"M18",NA,NA,"MED PYNEH"
"52","PYNEH","MED",1,4,4,3,2,2,5,4,4,5,4,5,"No","No","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Quite chur, but super friendly environment
Good partners, good nurses, good mo
Clean environment

But call can be very chur and need to take adm, ward work, blood taking, screen lab. Quite demanding",NA,"M18",NA,NA,"MED PYNEH"
"53","QEH","MED",3,4,5,5,3,3,5,5,5,4,5,5,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Good for training",NA,"M18",NA,NA,"MED QEH"
"54","QEH","MED",1,5,5,5,3,3,4,3,5,4,4,4,"No","Yes","No","No",NA,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"If you want to experience what is medicine just go QEH",NA,"M18",NA,NA,"MED QEH"
"55","QEH","MED",2,5,5,5,3,3,5,4,5,4,4,5,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Excellent training",NA,"M18",NA,NA,"MED QEH"
"56","QEH","MED",2,5,5,5,1,1,5,4,5,4,4,5,"No","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Highly independent",NA,"M18",NA,NA,"MED QEH"
"57","QEH","MED",3,4,3,3,1,2,5,5,5,3,3,5,"No","Yes","No","Yes",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO","Sec will put compensatory lace at post call Saturday, very 賤",NA,"Acceptable workload during day time but can become a crazy hell during on call, but very fruitful.",NA,"M18",NA,NA,"MED QEH"
"58","QEH","MED",1,5,5,5,4,4,3,3,5,4,3,4,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO","daytime workload not as chur as one expected if you dun chur yourself; call really quite tiring","ECG if not during office hours; negotiate urgent scans except USG/ CTB plain","Good education value, good canteen, chur on call duty","you can really have 3-4 free hours each day if you dun wanna work
","M18",NA,NA,"MED QEH"
"59","QEH","MED",2,5,5,5,2,2,5,5,5,4,5,5,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,"lots and lots of advanced procedures. HO are expected to manage quite acute cases without calling MO","Great training, variety of cases, very smart & knowledgeable colleagues, high work load",NA,"M18",NA,NA,"MED QEH"
"60","QEH","MED",4,4,4,4,3,3,5,5,5,4,4,5,"No","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,"HO have to do ECG from 1630 to 0900 (weekdays) and PH/sundays",NA,NA,"M18",NA,NA,"MED QEH"
"61","QEH","MED",4,4,5,5,1,1,5,5,5,4,5,5,"No","No","Yes","Yes",1,NA,NA,NA,"sosad final hea rot sin qeh med.... chur die",NA,"very chur for final rot maybe you will like it more if first 2 rot","very chur for final rot maybe you will like it more if first 2 rot 
a lot to learn, but QEH med is hell lol what do you expect","M18",NA,NA,"MED QEH"
"62","QEH","MED",2,4,NA,4,NA,NA,3,3,5,3,3,4,"No","Yes","No","No",4,"Assigned by Department","Assigned by Department",NA,NA,NA,"Can learn to do different procedures and also have exposure to emergency conditions 
Less about clerical work (eg. no need to type discharge summaries, print job sheets) and more about clinical exposure",NA,"M18",NA,NA,"MED QEH"
"63","QEH","MED",2,4,NA,4,NA,NA,3,3,5,3,3,4,"No","Yes","No","No",4,"Assigned by Department","Assigned by Department",NA,NA,NA,"Can learn to do different procedures and also have exposure to emergency conditions 
Less about clerical work (eg. no need to type discharge summaries, print job sheets) and more about clinical exposure",NA,"M18",NA,NA,"MED QEH"
"64","QEH","MED",1,4,4,4,1,1,5,5,5,4,5,5,"No","Yes","No","No",1,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Good if you have little regard for life but have great aspiration to be a Medical",NA,"M18",NA,NA,"MED QEH"
"65","QEH","MED",1,4,4,4,2,2,5,4,5,4,5,5,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department",NA,"Not sure about interview arrangement as my rotation was not the interview season",NA,"Busy but usually can get off at around 6 PM
Good learning value if you like medical
MOs are supportive in general",NA,"M18",NA,NA,"MED QEH"
"66","QMH","MED",1,4,4,4,3,2,4,4,2,3,4,4,"No","Yes","No","No",2,"Assigned by Department","Assigned by Department","Need to take official Leave","Annual is 3 days + 3 days",NA,"Good for medical training but chur",NA,"M18",NA,NA,"MED QMH"
"67","QMH","MED",1,5,5,5,3,3,4,4,4,4,4,4,"No","Yes","No","Yes",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Highly recommended if you are interested to do Medicine","- Physicians are willing to teach in ward rounds
- OPD and ward follow-up duties are good learning experiences
- QMH nurses are very competent","M18",NA,NA,"MED QMH"
"68","QMH","MED",3,3,NA,NA,3,NA,5,5,4,2,5,4,"No","Yes","No","No",1,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,"Need to set drip, which is quite a heavy duty","daytime duty is heavy, have compulsory clinic, call is relaxing, really depends on your ward partner",NA,"M18",NA,NA,"MED QMH"
"69","QMH","MED",1,5,5,5,1,1,5,5,3,4,5,5,"No","Yes","No","No",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Very busy, train to be drip god",NA,"M18",NA,NA,"MED QMH"
"70","QMH","MED",2,2,1,1,1,1,5,5,3,4,5,5,"No","Yes","No","No",3,"Assigned by Department","Assigned by Department",NA,NA,"Rediculous amount of work 
Even not enough computer for HO and MO to do ward duties together, let alone nurse also need to use computer
Lots of hepblock to set.Medical patient in general very difficult to set but you have to try for hundreds of times.
Very poor radi support for urgent scans and requires your to negotiate again and again before the patient is dead or discharge without the scan.
Compulsory OPD without supervision. See if you like to challenge yourself and have some commitment as being a doctor (or you may consult senior for every case)
","Stressful environment, poor hardward support, too busy that you dont have time and energy to learn from the patient.","Dont go here if you dont wannt be QMH MO 
But even if you dont come here they will still hire you coz not really many ppl wanna come back
MO are very busy too sometimes they have OPD till 6pm and then go back ward to round afterward and generate tonnes of homework for oncall HO.","M18",NA,NA,"MED QMH"
"71","QMH","MED",4,4,5,5,4,4,4,4,3,4,4,4,"No","Yes","No","Yes",5,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Depends which ward, can rest during day if d6 b2",NA,"M18",NA,NA,"MED QMH"
"72","QMH","MED",1,4,4,4,2,2,5,5,4,3,5,4,"No","Yes","No","No",4,"Assigned by Department","Assigned by Department",NA,NA,NA,"Adv: extremely competent nurses, lots of duties (e.g. admission, d/c summary, OPD, ward followup etc) which can train u to be a future MO
Disadv: too chur if u dun wanna be med, all culture & drip done by HO","Recommended to hv one rotation here for those who wanna be med, even if u dun plan to work in QM","M18",NA,NA,"MED QMH"
"73","QMH","MED",4,2,NA,NA,NA,1,4,4,2,NA,3,4,"No","Yes","No","No",3,"Assigned by Department","Assigned by Department",NA,NA,NA,"Not recommended",NA,"M18",NA,NA,"MED QMH"
"74","QMH","MED",1,4,4,4,3,3,4,5,3,5,5,4,"No","Yes","No","No",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,NA,NA,"M18",NA,NA,"MED QMH"
"75","QMH","MED",2,2,2,2,3,3,5,5,1,2,5,3,"No","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"You’re basically a clerk during this rotation. They’ll give all decisions to MOs as they’re ultra-defensive. No procedure for HO. The major job duties are discharge summaries, blood cultures and setting drips, which I would say does not train one intellectually. The workload is heavy (clerical work) but not rewarding, as your job is to follow MOs decisions. Also, the hospital culture tends to pan-investigate (with PET-CT, MRI) so probably not the best place to train your clinical skills/ decisions. Good thing about it is that you’ll be exposed to more cutting-edge medicine like the more newest way to treat cancers. Overall, I won’t recommend it unless you want to work as QMH MO in the future(it is a good place to learn for MOs but not). Workload is high but learning yield is only low to medium.",NA,"M18",NA,NA,"MED QMH"
"76","RH","MED",1,4,5,5,5,5,3,2,3,5,3,3,"Yes","Yes","Yes","Yes",NA,"Assigned by Department","Assigned by Department",NA,NA,NA,"Fantastic rotation. Friendly MOs who treat you as part of the team and even AC/consultants are all very nice. Low stress working environment yet enough learning opportunities. Call quality is also not bad with post call half day.","Highly recommended for all 4 rotations.","M18",NA,NA,"MED RH"
"77","RH","MED",1,3,4,NA,NA,NA,4,2,2,4,3,3,"Yes","Yes","Yes","No",3,"Allow arrangement among HO","Assigned by Department",NA,NA,NA,"RH has a great atmosphere - very nice and supportive MOs and seniors, and good teaching.  The workload (as a HO) is also one of the lightest in all of medicine.  They have a very protective culture and will directly call MOs for a lot of things that usually go to HOs (like unstable vitals) so it's fairly comfortable but you probably should not choose it as your only medical rotation if you want to do internal medicine because you won't really learn to manage anything.  But it's a great potential place to work.  Small, but friendly with high standards.  And they like hiring back their own HOs.  IMO it's a good place to start (I did rot 1 there) because it's a safe and protected place to ease into HO life and duties.","The biggest downside is the nurses can be pretty irritating and will call for literally everything with zero threshold, like asking you to change a scabies cream from q24h to q48h at 4am.  (:  But the MOs and seniors are really the best.","M18",NA,NA,"MED RH"
"78","RH","MED",2,4,NA,4,NA,NA,2,2,3,4,2,2,"Yes","Yes","Yes","Yes",NA,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Totally not chur for a med rotation, MOs nice and willing to teach, not much chance for procedure tho, may not be challenging for those who wanna do med, but super good for those wanna have a comfortable rotation",NA,"M18",NA,NA,"MED RH"
"79","TKOH","MED",3,4,4,4,4,4,5,3,5,3,1,5,"Yes","Yes","No","No",NA,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","Flexible arrangement for interview after discussion with coordinator","Too busy with lab results and ward c/o and ABGssssssssssssssssss
You won’t be able to help much with admission 
Awesome 血姑, setting impossible drips and taking blood c/st + VBG for you 
Can order nurse to print post-blood / repeat blood form for you over phone 
Can verbal order many drugs over the phone so you buy some time for sleep during call which is veryyyyyyyy important","ABG machine 
You won’t learn med
But once you get to know how to do those stuff and ward c/o, you can sleep and play during daytime and die during call 
Nice seniors btw","Come in rot 3/4, you won’t regret","M18",NA,NA,"MED TKOH"
"80","TKOH","MED",2,3,3,3,3,3,4,3,3,4,4,5,"Yes","Yes","No","No",3,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,"If you're eager, ask MO for ward procedures - they're quite willing to teach. Otherwise they'll do it all by themselves.","Actually not the toughest type of medical except on call
But mostly occupied by homework like screening lab results, change meds on IPMOE, etc. so just fair for learning
MOs are friendly, supportive and willing to provide you learning opportunities
Nurses and phlebotomists are competent and friendly too
Overall not a bad department to work in",NA,"M18",NA,NA,"MED TKOH"
"81","TKOH","MED",4,3,3,3,4,4,4,3,4,4,2,4,"Yes","Yes","No","No",3,"Allow arrangement among HO","Assigned by Department",NA,NA,NA,"Quite relaxing for medical",NA,"M18",NA,NA,"MED TKOH"
"82","TMH","MED",3,5,5,5,5,4,5,4,4,5,5,5,"No","No","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"A place where you feel like being an MO. Minimal clerk work with maximal clinical duties. Every call very chur. Overall junior MOs are very nice, supportive and willing to teach.","Definitely enjoy here if you like medical.","M18",NA,NA,"MED TMH"
"83","TMH","MED",3,3,2,2,1,1,5,5,4,3,5,5,"No","No","No","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Need to take official Leave",NA,NA,"Heavy workload","Not a good place for rot 3-4","M18",NA,NA,"MED TMH"
"84","TMH","MED",3,4,4,4,4,4,4,3,5,5,4,5,"No","No","No","No",4,"Allow arrangement among HO","Allow arrangement among HO","Need to take official Leave","Will just cover each other for interview, NEVER APPLY AL FOR INTERVIEW","Only need to print XR and very limited types of jobsheets","excellent in HO independence, a place you will feel like being a doctor
Very heavy call workload, but excellent support from MOs","No need to take blood/ culture, do ECG, set drip here !!!!!!!","M18",NA,NA,"MED TMH"
